GeneID	Control_1	Control_2	Erb1KO_1	Erb1KO_2
AKAP4	0	0	0	0
AKAP5	425	425	731	481
AKAP6	27	33	31	14
AKAP7	185	115	305	228
AKAP8	1769	1414	1584	1139
AKAP8L	2322	1903	3303	2054
AKAP9	2975	2550	4269	2365
AKD1	160	187	214	146
AKIP1	513	424	466	348
AKIRIN1	3186	2829	4147	2931
AKIRIN2	1592	1254	1901	1316
AKIRIN2-AS1	166	145	201	122
AKNA	687	531	616	576
AKNAD1	9	11	11	7
AKR1A1	6667	6392	6057	4976
AKR1B1	95	100	94	69
AKR1B10	3	5	3	3
AKR1B15	4	0	1	3
AKR1C1	245	190	487	438
AKR1C2	348	274	517	509
AKR1C3	44	40	30	34
AKR1C4	0	0	1	0
AKR1CL1	0	0	0	0
AKR1D1	1	2	4	6
AKR1E2	166	167	298	193
AKR7A2	3487	3113	2477	2172
AKR7A2P1	268	219	225	135
AKR7A3	8	2	9	10
AKR7L	7	6	11	9
AKT1	13748	12852	14924	9727
AKT1S1	2905	2687	2531	2004
AKT2	5648	5075	5218	3730
AKT3	4	10	5	5
AKTIP	714	807	1042	734
ALAD	3876	3514	3973	2510
ALAS1	3170	2797	2594	1877
ALAS2	1	0	0	0
ALB	0	0	0	0
ALCAM	13113	11363	14492	10387
ALDH16A1	432	371	227	218
ALDH18A1	10822	9947	12855	9892
ALDH1A1	0	0	0	0
ALDH1A2	5	3	4	1
ALDH1A3	51	74	85	60
ALDH1B1	1850	1778	1697	1021
ALDH1L1	6	10	8	5
ALDH1L2	6210	5089	10126	6639
ALDH2	8	6	1	4
ALDH3A1	1	0	0	0
ALDH3A2	4710	4096	4725	3603
ALDH3B1	472	404	433	299
ALDH3B2	20487	18751	19827	13430
ALDH4A1	6998	6998	5989	3389
ALDH5A1	5400	4978	5957	4140
ALDH6A1	4675	4251	4109	2703
ALDH7A1	4393	4083	3727	2621
ALDH8A1	0	1	3	0
ALDH9A1	8049	6763	8707	6269
ALDOA	356742	257423	152876	183131
ALDOB	0	0	0	0
ALDOC	3148	2251	2069	1807
ALG1	1301	1134	1079	765
ALG10	138	132	208	157
ALG10B	255	184	349	361
ALG11	257	221	294	175
ALG12	2146	1810	1431	1138
ALG13	1775	1731	1799	1507
ALG14	431	341	315	287
ALG1L	264	259	277	169
ALG1L2	0	0	0	0
ALG2	2907	2552	3589	2992
ALG3	2396	2293	2199	1867
ALG5	1783	1486	1276	972
ALG6	509	386	703	520
ALG8	3258	3108	3980	2572
ALG9	937	816	948	680
ALK	0	0	0	2
ALKBH1	942	961	1105	711
ALKBH2	854	845	791	613
ALKBH3	572	508	660	430
ALKBH4	418	404	349	297
ALKBH5	5309	4580	4641	3806
ALKBH6	453	405	372	220
ALKBH7	1627	1179	595	662
ALKBH8	346	270	424	286
ALLC	0	0	0	0
ALMS1	1603	1357	2263	1299
ALMS1P	7	4	21	11
ALOX12	0	1	4	0
ALOX12B	22	18	18	17
ALOX12P2	502	423	554	326
ALOX15	797	789	950	629
ALOX15B	3	2	1	3
ALOX5	1	1	2	0
ALOX5AP	1	0	0	0
ALOXE3	66	89	80	41
ALPI	0	0	0	0
ALPK1	909	784	1159	835
ALPK2	0	4	1	0
ALPK3	46	62	67	52
ALPL	50	31	23	13
ALPP	0	0	0	0
ALPPL2	0	0	0	0
ALS2	1716	1550	2339	1314
